run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,excluded_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
fd7f6f41793a,3.306301055415984,35,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e035_de003.3063.pt,late,smallcnn,image+mean+meta,samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
00821f149c50,3.430814527696179,29,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e029_de003.4308.pt,late,smallcnn,image+meta,samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
2cc2af67fa12,3.387236087552963,30,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e030_de003.3872.pt,late,smallcnn,image+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
add509a6ed29,5.8879138859173725,33,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e033_de005.8879.pt,late,smallcnn,image,pixel,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
dc4da368f1c0,2.9431850436222122,33,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e033_de002.9432.pt,late,smallcnn,image+meta,pixel+samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
0269c7c8a717,3.1769426176624913,33,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e033_de003.1769.pt,late,smallcnn,image+mean+meta,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
2805acc62144,5.158915022769606,35,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e035_de005.1589.pt,late,smallcnn,image,pixel+samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
bacf6caa9e39,5.253499708979962,37,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e037_de005.2535.pt,late,smallcnn,image,pixel+samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
5a9deabe17d5,5.5366652088780555,33,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e033_de005.5367.pt,late,smallcnn,image,samsung,50,1.0,0.001,0.0001,sigmoid_eps,0.001,100
ff0e6870aa32,5.733360321291031,33,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e033_de005.7334.pt,late,smallcnn,image,samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
c87793228010,5.777680504706598,33,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e033_de005.7777.pt,late,smallcnn,image,samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
8841722a2e5c,2.916190766426454,34,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e034_de002.9162.pt,late,smallcnn,image+meta,pixel+samsung,25,1.0,0.001,0.0001,sigmoid_eps,0.001,100
c2ea9f66e96b,3.016443236764655,34,/home/dominik/repo/checkpoints/sweep/xattn/late_smallcnn_e034_de003.0164.pt,late,smallcnn,image+meta,pixel+samsung,10,1.0,0.001,0.0001,sigmoid_eps,0.001,100
