run_id,best_metric,best_epoch,ckpt_path,model,backbone,features,included_folders,mse_weight_epochs,mse_weight_start,lr,weight_decay,pred_activation,activation_eps,seed
b062042459f0,3.005751928975505,42,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e042_de003.0058.pt,xattn,resnet18,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
e436346a82c0,3.2531423568725586,43,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e043_de003.2531.pt,xattn,resnet18,image+mean+meta,focus/pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
763858a5d97d,3.4567427327555995,43,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e043_de003.4567.pt,xattn,resnet18,image+mean+meta,focus/iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
e0e298e8116b,3.089984024724653,47,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e047_de003.0900.pt,xattn,resnet18,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
38b1e30716a3,3.407671328513853,49,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e049_de003.4077.pt,xattn,resnet18,image+mean+meta,focus/iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
7be21a2b23da,3.5871783841040825,48,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e048_de003.5872.pt,xattn,resnet18,image+mean+meta,focus/iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
3c24eb581a28,3.8658527426076845,48,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e048_de003.8659.pt,xattn,resnet18,image+mean+meta,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
a6d6da51ee00,3.1864280469955935,49,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e049_de003.1864.pt,xattn,resnet18,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
192c15e9757a,3.1923453500193935,53,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e053_de003.1923.pt,xattn,resnet18,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
57e4449f42ed,2.6577541023851876,58,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e058_de002.6578.pt,xattn,resnet18,image+mean+meta,focus/samsung,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
373ee9c34b0e,3.055980665012471,51,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e051_de003.0560.pt,xattn,resnet18,image+mean+meta,focus/pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
b6a416df75dc,3.682800607662086,52,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e052_de003.6828.pt,xattn,resnet18,image+mean+meta,focus+iphone+pixel/pixel-1+pixel/pixel-4+samsung/samsung-2+samsung/samsung-4,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
d4985813e19a,3.101207633172312,55,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e055_de003.1012.pt,xattn,resnet18,image+mean+meta,focus,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
3ecfac7d860c,3.2396545826810077,55,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e055_de003.2397.pt,xattn,resnet18,image+mean+meta,focus/pixel,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
70cdaec50c0b,3.6556496312541347,67,/home/dominik/repo/checkpoints/sweep/flair4/xattn_resnet18_e067_de003.6556.pt,xattn,resnet18,image+mean+meta,focus/iphone,75,1.0,0.001,0.0001,sigmoid_eps,0.001,100
