ISOSpeedRatings,ShutterSpeedValue,BrightnessValue,L,a,b,L-true,a-true,b-true,Make_Apple,Make_Google,Make_samsung
640,4.276121696,-0.5681656678,59.1207,15.534108,9.380196,69.23175,11.815551,11.400283,1,0,0
640,4.276121696,-0.5622164017,59.145645,15.176363,7.069163,69.00479,12.507379,10.525231,1,0,0
640,4.276121696,-0.5445143999,59.025444,16.147432,8.877022,69.051544,12.80111,9.483128,1,0,0
640,4.276121696,-0.604385856,61.326664,8.951109,14.245797,69.196754,8.177129,15.160667,1,0,0
640,4.276121696,-0.598285656,62.880383,10.462252,12.622218,69.059814,9.25242,14.432052,1,0,0
640,4.276121696,-0.5562915676,59.22088,9.688948,11.183997,69.21837,8.318379,14.639785,1,0,0
640,4.276121696,-0.5097489818,63.27733,8.280817,12.535574,69.43024,7.492473,16.03658,1,0,0
640,4.276121696,-0.5861620973,63.451496,8.003182,13.256611,69.24236,6.7119203,15.746651,1,0,0
640,4.276121696,-0.5741395693,64.37904,7.280838,14.931068,68.4998,5.163731,15.192672,1,0,0
640,4.276121696,-0.7455619184,57.449173,10.067529,12.496209,67.84897,8.909445,14.339298,1,0,0
640,4.276121696,-0.6166641858,61.738464,14.710674,12.185466,67.38298,11.724128,13.7298765,1,0,0
640,4.276121696,-0.5503909661,56.823532,17.802301,11.611485,67.00466,13.350971,12.657197,1,0,0
640,4.276121696,-0.4591229085,57.243176,18.516953,10.807639,67.02723,13.491399,12.132117,1,0,0
640,4.276121696,-0.4263329734,58.912373,16.619408,8.56719,66.82437,14.324907,10.730649,1,0,0
640,4.276121696,-0.62904791,61.07062,9.35565,15.151586,67.11458,8.778192,16.623398,1,0,0
640,4.276121696,-0.6668499427,60.1349,10.617058,12.723686,66.88122,9.463466,15.74536,1,0,0
640,4.276121696,-0.604385856,61.273483,9.297268,12.576931,67.156975,9.0530615,15.574737,1,0,0
640,4.276121696,-0.62904791,59.149017,8.713689,11.923434,66.94262,8.127307,15.801394,1,0,0
640,4.276121696,-0.598285656,62.074074,7.5634766,12.770961,67.5506,7.4260225,16.660254,1,0,0
640,4.276121696,-0.7455619184,59.971767,9.821244,14.17651,65.73894,9.37926,16.335274,1,0,0
640,4.276121696,-0.7796697733,58.891006,13.566248,12.38645,64.94776,12.511681,14.708033,1,0,0
640,4.276121696,-0.6796739833,59.335285,18.270443,12.483868,66.02309,13.784696,14.609777,1,0,0
640,4.276121696,-0.699126346,58.522083,18.77121,11.505487,65.17505,15.044598,13.408429,1,0,0
640,4.276121696,-0.7321414026,59.400894,17.228226,9.443864,65.53601,15.185332,11.116172,1,0,0
640,4.276121696,-0.7321414026,58.257534,12.006438,12.7604685,65.4422,9.65964,17.036448,1,0,0
640,4.276121696,-0.8005283775,57.754047,11.053014,15.297426,65.93634,10.172201,16.639194,1,0,0
640,4.276121696,-0.7591084506,57.73058,9.975681,12.74935,65.61984,8.846517,16.711042,1,0,0
640,4.276121696,-0.7455619184,58.618572,9.201983,14.734122,65.50129,8.313306,17.087591,1,0,0
640,4.276121696,-0.786589187,58.402386,7.724372,14.72892,65.59998,6.9615865,18.87217,1,0,0
640,4.276121696,-0.9171732963,56.930397,11.622458,15.237196,65.962746,5.0685735,21.008926,1,0,0
640,4.276121696,-0.9792342649,56.502625,15.500337,12.677132,62.02052,12.954159,15.579356,1,0,0
640,4.276121696,-0.9401344451,55.63559,20.254677,12.643481,62.399544,14.5500145,14.462734,1,0,0
640,4.276121696,-0.9171732963,55.625225,20.903152,12.6009655,62.761303,16.00593,13.887024,1,0,0
640,4.276121696,-0.8871160624,62.32729,19.23032,11.231504,64.09686,15.389387,12.41075,1,0,0
640,4.276121696,-0.9713290666,55.504234,11.323242,15.713669,63.247646,9.914724,18.393875,1,0,0
640,4.276121696,-0.909600077,55.5035,12.256624,12.957741,63.188114,9.775371,17.177896,1,0,0
640,4.276121696,-0.9713290666,52.74322,10.932125,15.702221,63.006313,8.847383,19.147552,1,0,0
640,4.276121696,-0.9634669496,59.9293,10.475384,17.084824,62.886497,8.312987,19.525492,1,0,0
640,4.276121696,-1.035817794,55.55821,9.143797,16.066265,62.409336,7.9263387,19.399977,1,0,0
640,4.276121696,-1.210904501,50.572582,14.562934,17.048534,60.17634,12.8776655,20.321262,1,0,0
640,4.276121696,-1.229641062,53.04517,16.693426,15.761834,59.75346,14.488107,17.486557,1,0,0
640,4.276121696,-1.138300751,50.725723,20.3621,13.072086,59.806076,16.362427,15.323406,1,0,0
640,4.276121696,-1.094711481,50.964928,20.66706,12.252259,60.097546,16.06287,14.5911255,1,0,0
640,4.276121696,-1.201626687,50.53002,14.504419,17.329466,59.92469,11.815386,21.069326,1,0,0
640,4.276121696,-1.192408156,52.03754,12.785899,15.405478,59.79257,11.488142,18.602215,1,0,0
640,4.276121696,-1.147178902,52.45505,12.244119,16.266644,60.112865,11.088722,20.182013,1,0,0
640,4.276121696,-1.094711481,56.316265,10.280181,17.038548,60.336555,8.864854,19.871912,1,0,0
640,4.276121696,-1.120706691,56.46856,8.158673,15.914061,59.994076,7.378044,20.479286,1,0,0
640,4.276121696,-1.337281785,48.91944,14.694051,17.250868,57.404537,12.664835,20.38105,1,0,0
640,4.276121696,-1.287356561,51.232296,16.811083,16.046074,56.795635,15.009408,18.436306,1,0,0
640,4.276121696,-1.210904501,52.84118,19.48058,15.40464,57.371273,15.88183,16.40284,1,0,0
640,4.276121696,-1.17414595,52.758526,20.624376,12.831623,57.075245,16.423311,14.257072,1,0,0
640,4.276121696,-1.229641062,53.247208,13.588459,18.844765,56.511032,12.188506,20.823841,1,0,0
